Area Covered by the house,Total number of pixels,Division Result
2043.45287008972,19743.0,0.10350265259027097
2421.87993063205,15685.0,0.15440739117832644
2206.9475943763,16195.0,0.13627339267528868
2279.58490511613,19147.0,0.11905702747773175
2082.79411563417,19511.0,0.10674973684763313
2470.29752184611,11651.0,0.21202450620943353
2043.44301572367,17321.0,0.11797488688434098
1743.74071216158,16984.0,0.10266961329260363
2119.14965667768,18716.0,0.11322663265001497
2001.07702751587,19634.0,0.10191896849933126
2107.0282986578,19030.0,0.11072140297728848
1952.62868024885,13631.0,0.14324911453663342
1967.75804782785,20609.0,0.09548052054092145
1991.98165670837,17600.0,0.11318077594933922
2119.13847774666,16933.0,0.1251484366471777
2088.85723768346,16144.0,0.1293890756741489
2122.35634028358,16662.0,0.12737704598989197
1816.40305266715,17251.0,0.10529262377063069
1998.03742705714,18239.0,0.10954753150157026
1743.75288406301,19413.0,0.08982397795616391
2479.39692842617,20144.0,0.12308364418318953
2043.45287008972,19908.0,0.10264480962877838
2421.87993063205,16580.0,0.14607237217322377
2206.9475943763,20491.0,0.10770326457353473
2206.9475943763,26077.0,0.084631958982103
2279.58490511613,24071.0,0.0947025426910444
2479.39692842617,14366.0,0.17258784132160446
1852.73351304438,23333.0,0.07940399918760468
1889.05265809407,24982.0,0.07561655023993555
1743.74128832275,20144.0,0.08656380501999354
1843.64940865642,15785.0,0.11679755518887679
2019.23132513085,30429.0,0.06635878027969536
2107.01860067781,12089.0,0.1742922161202589
2194.82103796616,29455.0,0.0745143791534938
2470.31370183859,20275.0,0.1218403798687344
2043.4408531131,22981.0,0.08891870906893086
1961.71671839771,9456.0,0.2074573517764076
2079.77406604014,14483.0,0.1436010540661562
1731.64650575932,16984.0,0.10195751918036505
2119.14086526225,15488.0,0.13682469429637462
3069.74073901054,15291.0,0.20075474063243345
2046.48842904428,0,0
90.819305061031,17860.0,0.005085067472622116
2182.71445489407,19024.0,0.11473478000915002
96.8752005456483,14651.0,0.0066121903314209475
2182.7162090947,32609.0,0.06693600567618449
145.31253448041,16415.0,0.008852423666183978
1598.44258397621,15194.0,0.10520222350771423
90.8195321201268,16845.0,0.005391483058481852
96.8725129252182,17153.0,0.005647555117193389
2161.52199611409,14803.0,0.1460191850377687
2061.62275028217,20609.0,0.10003506964346498
1652.92558428189,17613.0,0.09384690764105433
90.8235831625254,15136.0,0.006000501001752471
2379.4791432829,19754.0,0.12045556055902097
2276.57143418518,15844.0,0.14368665956735546
145.309509889062,24586.0,0.005910254205200602
2300.76964661643,25615.0,0.0898211847205321
48.4366686478173,28110.0,0.0017231116559166596
2567.18098666897,22139.0,0.11595740488138444
732.614476817805,17014.0,0.043059508452909664
272.457421764233,20160.0,0.013514753063702034
2276.55832561193,13594.0,0.16746787741738486
2512.69175859629,17287.0,0.14535152187171227
145.312973723408,22545.0,0.006445463460785451
145.310626357257,10159.0,0.014303634841742003
193.748363063586,17112.0,0.011322368107970196
2246.29154580262,26551.0,0.08460289803783737
1870.90142951517,17760.0,0.1053435489591875
75.6847837189466,18554.0,0.004079162645194923
2694.32945595519,13180.0,0.2044256036384818
145.312782082818,20583.0,0.00705984463308643
629.687976085035,19952.0,0.03156014314780648
96.8734878801441,16076.0,0.0060259696367345175
96.8743002439877,17940.0,0.005399905253288055
48.4381887154525,20555.0,0.0023565161136196787
90.8193205961118,16637.0,0.005458876035109202
108.983459991051,16428.0,0.006634006573596969
193.753139854197,19079.0,0.010155308970815924
2670.11565404457,18202.0,0.14669353115287165
151.367070225085,18456.0,0.00820151009021917
2648.92059485217,18784.0,0.1410200487037995
2137.31089470979,16428.0,0.13010171017225408
2264.44200585798,15221.0,0.14877090899796203
72.6552773863746,16071.0,0.004520893372308793
2449.12643092685,21970.0,0.11147594132575557
108.982453483708,16894.0,0.006450956166905884
2052.52981899436,32002.0,0.06413754824680833
90.8204999376603,16689.0,0.005441937799608144
2058.59243677082,16241.0,0.12675281305158673
290.627787582288,15130.0,0.01920871034912677
84.7659464178242,19010.0,0.004459018748964976
1961.70357371312,14971.0,0.13103356981585199
296.676122395109,23453.0,0.012649815477555495
72.6546995316819,17772.0,0.004088155499194345
75.684129130053,17901.0,0.0042279274414866765
2367.37542422851,18160.0,0.1303620828319664
2297.76018427003,12731.0,0.18048544374126385
2370.41135069447,19102.0,0.12409231235967282
2397.65636958814,24982.0,0.09597535704059483
72.6580390451932,16542.0,0.004392337023648483
2034.35776906037,17773.0,0.11446338654477972
1919.34881067748,21391.0,0.0897269323863999
2258.40862124566,13811.0,0.16352245465539497
2452.14438926815,23747.0,0.10326122833486967
2785.14413733634,19053.0,0.14617877170715057
2609.56351470072,0,0
2288.67653197799,21652.0,0.10570277720201322
1961.7071890145,20609.0,0.09518691780360522
2397.65371154609,19952.0,0.1201710962082042
2500.56885693208,14966.0,0.16708331263745022
2506.62281464684,21437.0,0.11692973898618464
2058.60176635848,19097.0,0.10779712867772319
2370.39977221737,0,0
2691.31058994656,15867.0,0.16961685195352366
3941.57935096205,17308.0,0.22773164727074474
4032.43376365973,17393.0,0.2318423367825982
3184.77227219201,19056.0,0.16712700840638173
3432.98789091114,20564.0,0.16694164028939604
3423.93073300507,1802.0,1.9000725488374417
3766.00657818479,19387.0,0.19425422077602467
3348.22130438497,15996.0,0.2093161605642017
2997.07151150213,25524.0,0.1174217015946611
3996.093544064,17987.0,0.22216564986178908
3218.06166589965,17287.0,0.18615501046449065
